anio,mes,ElAtazar,ElVado,ElVillar,LaAcena,LaJorosa,LaPinilla,LosMorales,Navacerrada,Navalmedio,Pedrezuela,PuentesViejas,Riosequillo,Santillana,Valmayor,fecha,total
1998,1,326.784,45.882,22.741,23.891,6.572,30.331,2.373,10.062,0.182,38.413,41.769,45.782,76.953,118.99,1998-01-01,790.725
1998,2,327.59,46.043,21.55,23.816,6.462,30.254,2.37,10.114,0.617,38.104,41.442,46.64,78.44,119.578,1998-02-01,793.02
1998,3,336.267,39.928,21.67,23.245,6.848,30.02,2.363,9.966,0.5,33.449,40.911,45.965,78.067,119.063,1998-03-01,788.2620000000001
1998,4,353.267,42.443,21.644,23.35,6.747,31.674,2.363,10.326,0.639,27.848,44.173,46.209,82.716,119.578,1998-04-01,812.977
1998,5,391.448,49.165,21.925,23.678,7.041,35.518,2.338,10.989,0.625,23.009,50.395,43.954,85.453,120.833,1998-05-01,866.3709999999999
1998,6,412.483,41.751,19.654,21.947,6.718,29.596,2.326,9.647,0.559,21.13,43.927,41.359,78.627,109.389,1998-06-01,839.1129999999999
1998,7,405.935,24.442,12.448,18.924,6.072,28.418,2.212,7.982,0.643,14.083,43.706,43.338,77.602,95.295,1998-07-01,781.0999999999999
1998,8,388.735,13.855,11.913,15.802,5.53,26.073,2.047,6.183,0.584,13.737,43.051,37.611,76.4,86.685,1998-08-01,728.2060000000001
1998,9,366.046,8.98,10.276,13.085,5.881,22.086,0.984,5.051,0.336,12.905,42.358,34.818,76.216,81.99,1998-09-01,681.0120000000001
1998,10,336.358,13.34,13.147,11.208,6.006,21.86,1.855,4.348,0.191,10.461,34.594,35.689,76.307,78.129,1998-10-01,643.493
1998,11,306.506,12.72,11.903,9.802,5.957,22.839,1.849,3.635,0.257,9.17,32.867,38.217,77.046,74.97,1998-11-01,607.738
1998,12,277.656,16.277,14.065,8.315,6.095,23.005,1.801,3.277,0.37,7.679,32.255,40.743,79.096,71.615,1998-12-01,582.2489999999999
1999,1,254.298,21.14,14.308,9.5,5.794,25.399,1.813,3.593,0.546,6.745,34.359,43.806,78.721,67.243,1999-01-01,567.2649999999999
1999,2,232.187,19.967,13.669,11.823,5.192,29.289,1.771,3.854,0.576,7.182,37.832,45.116,79.472,64.38,1999-02-01,552.31
1999,3,235.053,22.558,19.629,12.75,5.93,30.02,1.725,5.266,0.203,6.22,41.049,45.904,79.756,59.91,1999-03-01,565.973
1999,4,244.001,24.412,19.654,11.733,6.624,30.331,1.651,5.439,0.543,4.874,41.049,45.995,78.347,59.351,1999-04-01,574.004
1999,5,262.633,28.557,19.566,12.366,5.848,30.098,1.609,7.104,0.333,5.96,41.141,46.179,78.354,69.764,1999-05-01,609.5120000000001
1999,6,257.007,19.771,19.202,9.996,6.178,28.455,1.517,6.922,0.494,5.735,40.819,43.836,72.32,77.447,1999-06-01,589.6990000000001
1999,7,236.235,14.06,17.371,5.747,6.274,26.216,1.295,6.215,0.516,5.614,40.386,45.206,63.954,77.238,1999-07-01,546.327
1999,8,216.535,9.749,15.576,3.866,5.457,25.611,1.084,4.497,0.471,5.43,39.889,44.577,55.169,73.102,1999-08-01,501.01300000000003
1999,9,196.024,7.881,15.212,3.627,4.535,25.505,0.905,3.268,0.47,5.395,39.443,44.547,48.825,76.201,1999-09-01,471.83799999999997
1999,10,187.777,17.827,14.653,3.807,4.292,26.395,0.928,3.164,0.365,8.807,40.454,39.696,49.349,82.758,1999-10-01,480.27199999999993
1999,11,180.915,23.233,15.103,4.668,3.885,23.708,0.869,3.071,0.241,9.739,40.454,40.079,45.627,86.399,1999-11-01,477.991
